iter	Passed	Remaining
0	10	54639
1	20	50430
2	29	49245
3	39	49019
4	48	48916
5	58	48837
6	68	48790
7	78	48903
8	87	48753
9	97	48562
10	107	48617
11	117	48664
12	126	48509
13	135	48292
14	144	47911
15	153	47767
16	161	47409
17	170	47235
18	179	47033
19	187	46659
20	195	46426
21	204	46193
22	212	46007
23	221	45915
24	229	45697
25	238	45649
26	246	45459
27	255	45302
28	263	45189
29	272	45201
30	281	45137
31	289	44946
32	298	44930
33	307	44983
34	317	44984
35	326	44954
36	334	44841
37	342	44738
38	351	44679
39	359	44548
40	367	44433
41	375	44342
42	384	44314
43	392	44182
44	400	44085
45	409	44080
46	417	43996
47	426	43952
48	434	43929
49	442	43823
50	451	43795
51	459	43678
52	467	43658
53	476	43634
54	484	43578
55	493	43561
56	501	43530
57	509	43431
58	517	43377
59	526	43349
60	534	43310
61	542	43219
62	550	43166
63	559	43170
64	568	43130
65	576	43067
66	584	43012
67	592	43000
68	601	42964
69	609	42892
70	617	42884
71	625	42843
72	634	42793
73	642	42749
74	650	42714
75	659	42716
76	667	42686
77	675	42651
78	684	42648
79	692	42607
80	701	42575
81	709	42576
82	718	42545
83	725	42484
84	733	42416
85	741	42379
86	749	42335
87	758	42321
88	766	42273
89	774	42229
90	782	42222
91	790	42161
92	798	42123
93	806	42088
94	814	42060
95	822	42030
96	830	42003
97	838	41962
98	847	41949
99	855	41922
100	864	41911
101	872	41885
102	880	41860
103	888	41845
104	896	41802
105	904	41767
106	912	41732
107	921	41726
108	928	41683
109	936	41650
110	945	41628
111	953	41632
112	961	41592
113	970	41584
114	978	41571
115	987	41560
116	995	41545
117	1003	41523
118	1012	41531
119	1020	41508
120	1029	41505
121	1038	41512
122	1046	41483
123	1054	41453
124	1061	41410
125	1069	41373
126	1077	41340
127	1085	41310
128	1092	41268
129	1100	41241
130	1109	41233
131	1117	41208
132	1125	41188
133	1133	41169
134	1142	41172
135	1150	41156
136	1158	41130
137	1166	41097
138	1174	41077
139	1182	41038
140	1190	41026
141	1198	40992
142	1206	40976
143	1214	40947
144	1222	40931
145	1230	40924
146	1239	40921
147	1248	40915
148	1256	40899
149	1264	40889
150	1272	40871
151	1280	40854
152	1288	40823
153	1296	40805
154	1305	40795
155	1313	40781
156	1321	40772
157	1329	40757
158	1337	40734
159	1346	40730
160	1355	40727
161	1363	40710
162	1371	40696
163	1379	40672
164	1387	40669
165	1395	40646
166	1403	40622
167	1411	40598
168	1420	40592
169	1427	40568
170	1435	40546
171	1443	40532
172	1451	40508
173	1459	40484
174	1467	40459
175	1476	40474
176	1485	40468
177	1492	40441
178	1501	40429
179	1509	40417
180	1517	40414
181	1526	40416
182	1535	40421
183	1543	40397
184	1551	40380
185	1559	40370
186	1567	40353
187	1576	40341
188	1583	40319
189	1591	40297
190	1600	40287
191	1607	40264
192	1616	40261
193	1625	40262
194	1634	40277
195	1642	40268
196	1651	40264
197	1660	40260
198	1668	40261
199	1676	40233
200	1685	40238
201	1693	40236
202	1702	40223
203	1710	40217
204	1718	40194
205	1726	40188
206	1734	40160
207	1742	40145
208	1750	40133
209	1758	40108
210	1766	40094
211	1774	40072
212	1782	40055
213	1790	40035
214	1798	40038
215	1807	40026
216	1815	40014
217	1823	39994
218	1831	39992
219	1839	39973
220	1848	39979
221	1856	39965
222	1866	39972
223	1874	39961
